Client,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sex_M,has_Count_SA,has_Count_MF,has_Count_CL,avgBal_SA,avgBal_MF,avgBal_CL,has_TransactionsCred,has_TransactionsCred_CA,has_TransactionsCred_nonCA,has_TransactionsDeb,has_TransactionsDeb_nonCA,has_TransactionsDebCash,has_TransactionsDebCashless,has_PaymentOrder,avg_VolumeCred,avg_VolumeCred_CA,avg_VolumeDeb,avg_VolumeDeb_CA,avg_VolumeDebCash,avg_VolumeDebCashless,avg_VolumeDeb_PaymentOrder,VolumeCred_nonCA,VolumeDeb_nonCA,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
1217,38,165,1,0.0,0.0,0.0,0.0,0.0,6752.244642857143,0.0,0.0,0.0,0.0,0.0,0.002142857142857143,0.002142857142857143,1,1,714.2857142857143,714.2857142857143,0.0,0.0,714.2857142857143,1,1,0,0,1,1,0,0,0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,0.002142857142857143,0.002142857142857143,714.2857142857143,714.2857142857143,0.0,0.0,714.2857142857143,0.0,0.0,0,0,0,0.0,0.0,0.0
850,49,44,1,0.0,0.0,0.0,0.0,0.0,43.52321428571429,0.0,0.0,0.0,0.0,0.0,1392.402857142857,1392.402857142857,3,3,1226.345357142857,1226.345357142857,0.0,0.0,121.92857142857143,6,6,0,0,1,0,0,0,0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,464.1342857142857,464.1342857142857,204.39089285714283,204.39089285714283,0.0,0.0,121.92857142857143,0.0,0.0,0,1,0,0.0,0.8939285714285715,0.0
1473,54,34,1,1.0,0.0,0.0,1.0,1.0,29.024285714285714,14447.801428571429,0.0,0.0,653.91,1132.590357142857,1787.1275,939.1289285714286,14,5,3875.1378571428572,3794.5807142857143,357.14285714285717,444.59749999999997,2076.785714285714,48,38,1,26,11,1,1,0,1,14447.801428571429,0.0,1132.590357142857,1,1,1,1,1,1,1,1,127.65196428571429,187.8257857142857,80.73203869047619,99.85738721804512,357.14285714285717,17.099903846153843,188.7987012987013,847.9985714285715,80.55714285714294,1,0,0,4.929642857142857,0.0,0.0
1038,29,106,1,0.0,0.0,0.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0,0.0,0.006071428571428572,0.006071428571428572,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.006071428571428572,0.006071428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
225,14,187,1,0.0,0.0,1.0,0.0,0.0,345.6860714285714,0.0,0.0,618.3975,0.0,0.0,0.0075,0.0075,1,1,130.52142857142857,130.52142857142857,0.0,111.23571428571428,19.285714285714285,5,5,0,4,1,1,0,0,0,0.0,0.0,0.0,1,1,0,1,0,0,1,1,0.0075,0.0075,26.104285714285716,26.104285714285716,0.0,27.80892857142857,19.285714285714285,0.0,0.0,0,0,1,0.0,0.0,8.130714285714285
827,57,50,1,0.0,0.0,1.0,1.0,0.0,49.19357142857143,0.0,0.0,0.0,0.4642857142857143,0.0,1755.2817857142857,1750.4042857142856,9,6,1474.3214285714287,1455.0357142857142,607.1428571428571,17.857142857142858,843.25,26,23,4,1,17,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,195.0313095238095,291.7340476190476,56.704670329670336,63.26242236024844,151.78571428571428,17.857142857142858,49.60294117647059,4.877500000000055,19.285714285714448,0,1,1,0.0,7.928571428571429,12.242142857142856
1231,6,232,1,0.0,0.0,0.0,0.0,0.0,819.8539285714286,0.0,0.0,0.0,0.0,0.0,0.015714285714285715,0.015714285714285715,2,2,2257.0,2257.0,2250.0,0.0,0.0,9,9,6,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,0.007857142857142858,0.007857142857142858,250.77777777777777,250.77777777777777,375.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,24.434642857142855
739,69,55,1,1.0,8.0,1.0,0.0,1.0,5519.308928571429,0.0,9824.236785714285,0.0,0.0,3868.679642857143,208.4467857142857,150.00357142857143,4,2,287.00357142857143,282.575,0.0,211.18214285714288,0.0,7,5,0,3,0,1,1,1,1,0.0,1228.0295982142857,3868.679642857143,1,1,1,1,1,0,1,0,52.11169642857143,75.00178571428572,41.000510204081635,56.515,0.0,70.39404761904763,0.0,58.44321428571428,4.428571428571445,0,1,1,0.0,2.138571428571429,7.785714285714286
956,52,139,2,0.0,0.0,1.0,0.0,0.0,3611.397857142857,0.0,0.0,0.0,0.0,0.0,1699.1328571428571,1278.5364285714284,13,10,1647.4603571428572,1238.9960714285714,71.42857142857143,118.72107142857143,624.2142857142857,27,20,1,4,11,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,130.70252747252746,127.85364285714283,61.01705026455027,61.949803571428575,71.42857142857143,29.68026785714286,56.746753246753244,420.59642857142876,408.4642857142858,0,0,1,0.0,0.0,19.958214285714288
1219,33,19,1,0.0,0.0,0.0,0.0,0.0,5164.206428571429,0.0,0.0,0.0,0.0,0.0,347.32214285714286,347.32214285714286,2,2,368.49285714285713,368.49285714285713,71.42857142857143,19.67142857142857,246.32142857142858,13,13,2,3,5,1,0,0,0,0.0,0.0,0.0,1,1,0,1,0,1,1,1,173.66107142857143,173.66107142857143,28.345604395604393,28.345604395604393,35.714285714285715,6.557142857142857,49.26428571428572,0.0,0.0,0,0,0,0.0,0.0,0.0
